State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
CA,Tuolumne County,14.5,21.6,53136
CA,Ventura County,9.9,14.3,79285
CA,Yolo County,17.5,16.8,58766
CA,Yuba County,21.6,31.7,46500
CO,Colorado,11.5,14.8,63945
CO,Adams County,12.8,17.3,62991
CO,Alamosa County,24,30.2,40067
CO,Arapahoe County,9.2,12.2,67062
CO,Archuleta County,13.1,25.4,50361
CO,Baca County,20.8,32.1,35405
CO,Bent County,36.7,40.3,36630
CO,Boulder County,12.3,10.9,72392
CO,Broomfield County,4.9,5.8,86548
CO,Chaffee County,11.7,17.5,50947
CO,Cheyenne County,11.7,17.3,50620
CO,Clear Creek County,9.6,14.3,67262
CO,Conejos County,20.2,29.9,37102
CO,Costilla County,28.2,43.3,27944
CO,Crowley County,44.3,38.5,35405
CO,Custer County,15.1,32.8,43995
CO,Delta County,15.8,23.7,42586
CO,Denver County,15.7,23.1,57886
CO,Dolores County,14.9,22.4,44829
CO,Douglas County,3.4,3.3,109926
CO,Eagle County,7.6,10.6,75191
CO,Elbert County,5.9,8,90270
CO,El Paso County,11,14.9,60050
CO,Fremont County,17.2,24.8,41967
CO,Garfield County,10.3,14.6,64487
CO,Gilpin County,8,12,67389
CO,Grand County,8.3,13.5,59885
CO,Gunnison County,12.5,14.3,47619
CO,Hinsdale County,10.9,30.8,58613
CO,Huerfano County,23.2,41.6,33098
CO,Jackson County,13.9,25.3,46905
CO,Jefferson County,7.9,9.7,71209
CO,Kiowa County,13.9,22.1,42108
CO,Kit Carson County,12.2,20,44090
CO,Lake County,15.7,25.5,45913
CO,La Plata County,9.4,11.5,60732
CO,Larimer County,12.2,10.7,64935
CO,Las Animas County,19.3,28.1,38858
CO,Lincoln County,19.4,25,43188
CO,Logan County,15.5,17.9,46306
CO,Mesa County,14.1,17.8,51449
CO,Mineral County,9.4,19,50481
CO,Moffat County,11.7,17.4,59173
CO,Montezuma County,19.3,28.7,42975
CO,Montrose County,17.7,25.2,46860
CO,Morgan County,12.1,16.9,49087
CO,Otero County,20.6,30.6,34970
CO,Ouray County,9.4,15.2,60402
CO,Park County,9.2,14.7,63319
CO,Phillips County,11.1,16.7,48562
CO,Pitkin County,7,7.6,76663
CO,Prowers County,19.6,27.9,41348
CO,Pueblo County,19.8,27.1,40540
CO,Rio Blanco County,9.7,11.2,61426
CO,Rio Grande County,17.2,28.7,40259
CO,Routt County,8.9,10.9,70989
CO,Saguache County,29.6,49.3,34209
CO,San Juan County,15.6,33.7,43489
CO,San Miguel County,11,13.3,62793
CO,Sedgwick County,13.6,23.8,40325
CO,Summit County,8.7,10.3,69633
CO,Teller County,8.8,15.3,66191
CO,Washington County,11.4,15.6,47592
CO,Weld County,11.3,13.5,69434
CO,Yuma County,14.1,18.6,48934
CT,Connecticut,10.6,14.6,71333
CT,Fairfield County,9,11.2,86297
CT,Hartford County,11.1,15.7,69260
CT,Litchfield County,7.4,9.4,70847
CT,Middlesex County,6.7,7.4,82878
CT,New Haven County,13.6,20,61758
CT,New London County,11.1,17.4,65602
CT,Tolland County,7.1,7.2,81616
CT,Windham County,10.9,16.8,61303
DE,Delaware,12.6,19.1,61327
DE,Kent County,14.2,21.3,55678
DE,New Castle County,12.1,17.6,66179
DE,Sussex County,12.3,21.4,54309
DC,District of Columbia,17.7,28.3,73115
DC,District of Columbia,17.7,28.3,73115
FL,Florida,15.8,23.4,49416
FL,Alachua County,21.1,21.6,47023
FL,Baker County,16.8,24.2,50883
FL,Bay County,16.5,25.8,47745
FL,Bradford County,21.3,31,40879
FL,Brevard County,13.4,21.3,50352
FL,Broward County,14,20.3,53624
FL,Calhoun County,22.2,32.8,36062
FL,Charlotte County,12.4,23.3,45495
FL,Citrus County,17.5,31.4,39982
FL,Clay County,11.6,15.7,59244
FL,Collier County,13.6,22.9,62385
FL,Columbia County,19.7,30.4,43303
FL,DeSoto County,30.5,41.3,34380
FL,Dixie County,29.3,38.2,35749
FL,Duval County,16,25.4,49565
FL,Escambia County,15.4,27.4,45735
FL,Flagler County,11.7,20.9,50347
FL,Franklin County,23.7,38.5,38220
FL,Gadsden County,24.5,38.4,36637
FL,Gilchrist County,19.2,29.5,39342
FL,Glades County,22.1,33.1,40215
FL,Gulf County,21.9,29.2,41320
FL,Hamilton County,31.8,44.6,33497
FL,Hardee County,25.9,36.5,35850
FL,Hendry County,25.8,36.4,39320
FL,Hernando County,14.3,24.5,43103
FL,Highlands County,22.9,38.1,34691
FL,Hillsborough County,15.8,21.4,51710
FL,Holmes County,25.9,34.9,35202
FL,Indian River County,13,22.5,49887
FL,Jackson County,22.5,31.8,36751
FL,Jefferson County,19.4,30.9,42210
FL,Lafayette County,23.8,29.5,40345
FL,Lake County,12.8,20.9,49711
FL,Lee County,15.9,25.2,50713
FL,Leon County,21.8,22.3,46405
FL,Levy County,22.1,35.3,36005
FL,Liberty County,22.6,29.9,39623
FL,Madison County,27,36.9,34360
FL,Manatee County,14.8,24.2,50728
FL,Marion County,18.7,31.9,40053
FL,Martin County,11.2,18.1,53459
FL,Miami-Dade County,20,27.3,43687
FL,Monroe County,11.3,18.8,58332
FL,Nassau County,10.8,16,55707
FL,Okaloosa County,11.3,18.7,55391
FL,Okeechobee County,23.2,34.6,35787
FL,Orange County,15.6,22.6,50593
FL,Osceola County,18.5,27.5,45127
FL,Palm Beach County,13.5,20.8,56638
FL,Pasco County,14.6,19.5,46080
FL,Pinellas County,13.6,20.6,47591
FL,Polk County,17.3,26.7,44024
FL,Putnam County,27.3,41.1,32351
FL,St. Johns County,9.8,10.1,71896
FL,St. Lucie County,16.4,25.3,45918
FL,Santa Rosa County,12.3,16.9,59289
FL,Sarasota County,9.7,17.6,55882
FL,Seminole County,11.5,16.1,57357
FL,Sumter County,10.1,30.6,54592
FL,Suwannee County,23.6,35.2,37368
FL,Taylor County,21.2,30,39116
FL,Union County,26.2,26.4,41078
FL,Volusia County,16.3,25.1,42334
FL,Wakulla County,16.5,21.3,48703
FL,Walton County,14.8,26.1,47875
FL,Washington County,24.8,34.2,36328
GA,Georgia,17.2,24.7,51225
GA,Appling County,22.5,34.2,39588
GA,Atkinson County,26.9,40.5,32398
GA,Bacon County,23.9,36.8,35431
GA,Baker County,28.7,41.9,34455
GA,Baldwin County,26,35.5,38015
GA,Banks County,15.8,24.4,44146
GA,Barrow County,15.6,21.3,53789
GA,Bartow County,13.6,21.5,50900
GA,Ben Hill County,32.5,46.9,30776
GA,Berrien County,25.5,36.9,35518
GA,Bibb County,26.7,41.6,38870
GA,Bleckley County,19.3,31.7,42716
GA,Brantley County,21.6,34.3,37709
GA,Brooks County,25.4,38.9,36820
GA,Bryan County,13.1,16.2,69650
GA,Bulloch County,29.9,31.3,36544
GA,Burke County,25.1,37.9,36977
GA,Butts County,19,26.9,44166
GA,Calhoun County,37.5,42.4,30972
GA,Camden County,13.6,20.4,52706
GA,Candler County,28.1,43.3,32806
GA,Carroll County,20.4,26.4,45453
GA,Catoosa County,13.1,19.6,50979
GA,Charlton County,32.5,37.7,37037
GA,Chatham County,17.8,25.3,48885
GA,Chattahoochee County,21,24.5,41066
GA,Chattooga County,20.4,28.8,38063
GA,Cherokee County,9.4,12.3,74885
