EventDate,TheatreCode
16720205,dg
16720206,dg
16720226,lif
16720228,dg
16720300,lif
16720309,dg
16720313,dg
16720328,dg
16720400,lif
16720401,none
16720420,dg
16720517,dg
16720600,lif
16720600,lif
16720600,lif
16720704,dg
16720708,dg
16720717,dg
16720731,none
16720803,dg
16720816,dg
16720817,dg
16720821,dg
16720826,bf
16720829,dg
16720831,dg
16720903,dg
16720917,none
16721003,dg
16721029,city
16721100,lif
16721100,dg
16721101,mt
16721101,it
16721104,dg
16721111,cc
16721202,dg
16721203,dg
16721204,dg
16721217,atcourt
16721227,atcourt
16721230,wf
16730130,none
16730204,dg
16730206,dg
16730218,dg
16730300,lif
16730312,dg
16730324,none
16730400,lif
16730404,dg
16730421,none
16730500,lif
16730500,dg
16730505,yh
16730529,atcourt
16730605,atcourt
16730607,lif
16730630,lif
16730700,none
16730703,dg
16730729,dg
16730809,dg
16730820,dg
16730821,dg
16730822,atcourt
16730904,wf
16730912,none
16730923,hg
16730927,dg
16730927,wf
16731021,dg
16731028,dg
16731029,city
16731101,it
16731120,wf
16731200,lif
16731205,dg
16731206,dg
16731222,wf
16740100,lif
16740105,none
16740112,wf
16740114,atcourt
16740130,none
16740131,dg
16740200,atcourt
16740202,it
16740300,lif
16740300,lif
16740317,dg
16740318,dg
16740326,dl
16740327,dl
16740330,dl
16740413,none
16740420,wf
16740423,dl
16740430,dg
16740511,dl
16740512,dl
16740516,dg
16740516,dl
16740604,dg
16740620,dg
16740700,oxford
16740800,dg
16740900,dg
16740900,dg
16740900,dg
16740910,atcourt
16740922,none
16740929,wf
16741000,dg
16741000,dg
16741020,dl
16741024,dl
16741029,city
16741031,wf
16741102,dg
16741103,atcourt
16741109,dl
16741109,dg
16741110,dl
16741111,dg
16741112,dl
16741116,dl
16741117,dg
16741118,dg
16741119,dl
16741124,dl
16741126,dg
16741128,dg
16741130,dl
16741202,dg
16741202,slingsby
16741208,dl
16741209,dg
16741214,none
16741215,atcourt
16741217,dl
16741221,dl
16741222,atcourt
16741228,dl
16741230,dg
16750100,none
16750108,dg
16750112,dl
16750115,dl
16750119,slingsby
16750121,dg
16750122,dg
16750125,dl
16750125,atcourt
16750126,wf
16750130,none
16750202,it
16750202,atcourt
16750204,ft
16750215,atcourt
16750216,atcourt
16750222,atcourt
16750227,dg
16750301,dg
16750302,dg
16750303,dg
16750304,dg
16750305,dg
16750306,dg
16750308,dl
16750309,dg
16750319,dg
16750324,dg
16750329,none
16750419,dl
16750422,atcourt
16750423,dl
16750423,atcourt
16750430,dl
16750500,dl
16750504,dl
16750507,dl
16750510,dl
16750528,dg
16750607,atcourt
16750612,dg
16750614,dg
16750615,dg
16750619,dl
16750620,none
16750622,dg
16750623,dg
16750624,dg
16750625,dg
16750629,dg
16750700,dl
16750724,atcourt
16750800,dl
16750800,dl
16750827,dl
16750828,dg
16750900,dg
16750903,bf
16750924,dg
16750925,dg
16750928,dg
16750929,atcourt
16751008,dg
16751011,dg
16751026,dl
16751027,dl
16751029,city
16751100,dg
16751101,it
16751106,dl
16751111,dl
16751117,dl
16751120,dl
16751125,bannster
16751200,dg
16751202,dlordg
16751217,dl
16751221,dl
16751223,none
16751229,dl
16760100,dg
16760110,dg
16760112,dl
16760117,dl
16760118,atcourt
16760129,dl
16760131,none
16760200,dg
16760202,it
16760214,dl
16760300,dg
16760311,dg
16760320,none
16760418,dg
16760430,dg
16760509,dg
16760516,dl
16760518,dl
16760523,dl
16760525,dg
16760529,atcourt
16760602,dg
16760608,dg
16760609,dg
16760610,dg
16760612,dg
16760613,dg
16760613,dl
16760614,dg
16760615,dg
16760616,dg
16760617,dg
16760619,dg
16760703,dg
16760725,dg
16760800,dg
16760800,dg
16760803,dl
16760900,dg
16760900,dl
16760909,dl
16760912,dg
16760921,dg
16760923,dg
16760925,dg
16761002,dg
16761005,dg
16761011,dg
16761012,dg
16761016,dg
16761018,dg
16761026,dg
16761027,dg
16761030,city
16761101,dg
16761101,it
16761101,mt
16761104,dg
16761118,dl
16761127,dl
16761200,dg
16761200,dg
16761204,dl
16761205,dl
16761211,dl
16761213,dl
16761214,academy
16770101,dl
16770112,dl
16770118,dl
16770119,dl
16770130,none
16770200,dg
16770202,mt
16770202,it
16770205,atcourt
16770212,dg
16770213,dg
16770214,dg
16770224,dg
16770300,dl
16770317,dl
16770324,dg
16770402,dl
16770409,none
16770505,dl
16770512,dg
16770522,atcourt
16770529,atcourt
16770531,dg
16770600,dl
16770600,dg
16770600,dl
16770608,dg
16770700,dg
16770700,dl
16770728,dg
16770730,dl
16770827,bf
16770830,bf
16770900,dg
16770900,dg
16771000,dl
16771029,city
16771100,atcourt
16771101,it
16771101,mt
16771105,dg
16771110,atcourt
16771115,dg
16771117,dg
16771200,dl
16771204,atcourt
16771212,dl
16771217,atcourt
16771226,dl
